Latent_1,Latent_2,Latent_3,Latent_4,Latent_5,Latent_6,Latent_7,Latent_8,Latent_9,Latent_10,Latent_11,Latent_12,Latent_13,Latent_14,Latent_15,Latent_16,Latent_17,Latent_18,Latent_19,Latent_20,Latent_21,Latent_22,Latent_23,Latent_24,Latent_25,Latent_26,Latent_27,Latent_28,Latent_29,Latent_30,Latent_31,Latent_32,PAM50_subtype
0.0,1.0929444,0.0,0.48594406,0.878181,0.0,0.0,0.0,0.0,0.0,0.76238394,0.0,0.0,0.0,0.0,0.0,0.5046691,0.0,0.012566462,0.0,0.0,0.0,0.0,0.75114787,1.2031028,0.5958574,0.0,0.0,0.0,0.0,1.4166858,0.46168327,LumB
2.1541424,0.0,0.0,0.0,2.202464,0.0,0.33086216,0.0,0.0,2.3541663,2.3546321,0.0,1.3127496,0.0,0.0,0.0,0.0,1.2113428,0.0,0.0,0.94446266,0.0,2.0812054,0.0,0.3508643,0.0,1.2502851,0.0,0.55868536,0.9597768,0.0,2.57612,LumB
0.5823525,0.0,0.023088468,0.7644517,0.0,0.0,0.0,0.0,0.20731619,0.0,0.3419168,0.0,0.85247236,0.0,0.0,2.2154639,0.0,0.86634797,0.0,0.0,0.0,1.7893745,0.071935475,3.2511692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68391985,Her2
2.2046516,0.7078613,3.4229841,0.0,0.0,0.0,0.0,1.0971277,0.0,1.5506365,0.0,0.0,0.0,2.2576623,0.55935365,0.0,0.03216799,0.0,0.0,1.1843239,0.0,1.9195105,0.0,0.0,1.5316964,1.3499104,0.27815902,0.0,0.0,1.0058389,0.0,0.0,Basal
1.0111415,0.0,0.7016568,0.0,0.0,0.36295903,0.0,1.3957217,0.27670744,0.0,0.0,0.0,0.0,0.222913,0.0,2.0712,1.4003621,0.0,0.0,0.7088543,0.7768774,0.0,0.05199629,1.80789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basal
0.0,1.2117931,0.300224,0.74834937,0.5760185,0.0,1.3367503,0.0,0.0,0.06043881,1.2236718,0.0,0.04275229,0.0,0.18338314,0.0,0.0,0.45456642,0.3870519,0.0,0.0,0.45858607,0.0956687,0.7479793,0.0,0.2891058,0.0,0.0,0.06939393,0.96992177,0.4460754,0.07929778,LumB
1.6317245,1.3931553,0.0,0.10454241,0.71774924,0.0,0.16431291,0.0,0.0,0.82387614,0.65227836,2.7007396,1.8386613,0.0,1.071695,0.0,0.120854944,2.373957,0.0,0.175796,0.0,3.4732525,0.15563442,0.0,0.0,0.0,0.1974126,0.0,1.0952325,0.0,0.0,1.0418594,Her2
1.1968126,0.34988543,0.55184627,1.4371043,3.2048314,0.0,3.1244278,0.0,0.0,1.6941334,2.4752758,0.19512556,0.0,0.0,0.0,0.0,0.0,1.647027,0.0,0.0,0.5070897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.041481,0.0,0.0,2.2857962,LumB
0.0,0.31606793,0.0,1.6620309,0.05473756,0.0,0.0,0.0,0.0,0.0,1.2095758,0.0,0.8284472,0.0,0.0,0.7751891,0.0,1.127641,0.0,0.0,1.5916898,2.074393,0.14667775,1.7674581,1.3118851,0.0,1.5702593,0.0,0.4129538,0.0,0.0,2.1218276,LumB
0.24098098,0.19985536,0.0,0.8515888,0.0,0.0,0.7193128,0.0,0.0,0.0,0.8121581,0.0,0.9056041,0.0,0.0,0.5849024,0.0,0.985304,0.0,0.0,0.7398337,1.4105778,0.12423493,2.0298092,0.31594124,0.0,0.0,0.0,0.0,0.0,0.09306149,0.7522218,Her2
